token, holder, balanceInUSD
OriginTrail(0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f), 0x4d43c8ca1c8d2ba31a74da388b06f53bd302e9eb, 161875.74988343526
OriginTrail(0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 4484269.555738682
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x0ce8cf35d39e8d73f5638f0e0aaa19edd432b70e, 457115.1665368596
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x614d98a57a5d879d717152de0690ed2b04562ade, 167362.6506073768
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x4a6f0f967557a228916e9f0b325c51855e49baa2, 279217.6764439281
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x997b54d967e0452abf233eb12b6829db84f96c2a, 335812.0812428806
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xd6fc210686d22d0f2e9303700a9e44bc6527b105, 334000.3266583997
KOK(0x9b9647431632af44be02ddd22477ed94d14aacaa), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 33877786.21134579
Rocket Pool(0xb4efd85c19999d84251304bda99e90b92300bd93), 0x6eaa2a8ab65260a748cb7df8b98faf5359a15900, 190347.0571886784
HyperDAO(0x74faab6986560fd1140508e4266d8a7b87274ffd), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 1638780.368611905
HedgeTrade(0xF1290473E210b2108A85237fbCd7b6eb42Cc654F), 0x3c02290922a3618a4646e3bbca65853ea45fe7c6, 154458.06596166678
Veritaseum(0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374), 0xe03c23519e18d64f144d2800e30e81b0065c48b5, 1174207.6079749013
LCX(0x037a54aab062628c9bbae1fdb1583c195585fe41), 0x20c44fa0e674e9220d68e288c86a77eaa21b69d5, 235976.27424055923
Orbs(0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 1591827.0100599509
Orbs(0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 492443.90822679165
Vectorspace AI(0x7D29A64504629172a429e64183D6673b9dAcbFCe), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 151501.89589023078
Vectorspace AI(0x7D29A64504629172a429e64183D6673b9dAcbFCe), 0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91, 998359.7891922101
DEAPcoin(0x1a3496c18d558bd9c6c8f609e1b129f67ab08163), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 6298461.535752862
AllianceBlock(0x00a8b738E453fFd858a7edf03bcCfe20412f0Eb0), 0x1ff096ff29f0e8cf3f38500891a39c3b55a37b90, 219606.01018253271
AllianceBlock(0x00a8b738E453fFd858a7edf03bcCfe20412f0Eb0), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 429451.7443811038
STAKE(0x0Ae055097C6d159879521C384F1D2123D1f195e6), 0x000000000000000000000000000000000000dead, 51680413.956886694
Rarible(0xfca59cd816ab1ead66534d82bc21e7515ce441cf), 0xdfb321988b6a7e0c7f427d3b237591212d8b1005, 5724132.522827464
SUKU(0x0763fdCCF1aE541A5961815C0872A8c5Bc6DE4d7), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 702432.3295213487
Offshift(0xabe580e7ee158da464b51ee1a83ac0289622e6be), 0x5a416d6e1b9bb863f1bbbe98598bb566540f2052, 338124.22169751005
Aventus(0x0d88ed6e74bbfd96b831231638b66c05571e824f), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 207683.72717552946
Jarvis Network(0x8a9c67fee641579deba04928c4bc45f66e26343a), 0x8b82066e631aa534ed87dddea6274b54fffe25eb, 183055.54230049532
