token, holder, balanceInUSD
OriginTrail(0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f), 0xc19c8dc5447d56bde18e0f7ddaf79e32fd33bdb0, 336164.3672107
OriginTrail(0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f), 0x9666386cf10de5430fa7865311bc713b25067cbc, 227239.2637573928
OriginTrail(0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 8367446.044918898
Function X(0x8c15ef5b4b21951d50e53e4fbda8298ffad25057), 0xa44f717c76574da98a347e8ed32d3e8da56c4301, 313241.01569256885
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xc4aa5b4d4049324c09376d586482c7f8fb57542a, 466429.18873093557
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x0f65c7d2faac5b30d00840b775663792588528e1, 189763.8335860672
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xca9cbd376488dd77187e99864ba7ce1ff670cb69, 791417.350871367
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xd6fc210686d22d0f2e9303700a9e44bc6527b105, 210557.59826675383
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x997b54d967e0452abf233eb12b6829db84f96c2a, 316819.89472163894
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x0a6b91374b529c5d03ed44468ca8737f7247ad6a, 182353.28201424205
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xcba0e94b4449a56974d67382328acf562fe9c1bd, 1150746.347488324
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xe0b2add5c2d094008d014369ab6bc5c42cf3acad, 199612.05713187574
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x1d5e65a087ebc3d03a294412e46ce5d6882969f4, 370869.84188813245
Render Token(0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24), 0x8cbf3825ee995403291d27dffde238c636c469b0, 229453.04836670187
Render Token(0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24), 0x0821c9f1c0e902f7ee24798391a61acc01081dd2, 434167.90425849427
Render Token(0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24), 0xf8d56b6b94bd2a7f4915270f57bf66843ac3894f, 224259.19467543458
Render Token(0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24), 0x5d418d8bcfe8c6f199bdb997ff968d92a0c5bbaf, 206998.40527652684
Rocket Pool(0xb4efd85c19999d84251304bda99e90b92300bd93), 0xff9906e83c0e22b7082714698269c80e9c3ceb5c, 157852.81435579938
Rocket Pool(0xb4efd85c19999d84251304bda99e90b92300bd93), 0x61c00b460b320935aae718c0ceb5d864c4864846, 446470.21026643296
KOK(0x9b9647431632af44be02ddd22477ed94d14aacaa), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 16790395.084873635
Orbs(0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 1058631.2325656633
Dawn Protocol(0x580c8520deda0a441522aeae0f9f7a5f29629afa), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 8189977.8034082
AllianceBlock(0x00a8b738E453fFd858a7edf03bcCfe20412f0Eb0), 0x1031b8cf545cb9db525a051ccef507174ebd79ee, 1026483.8329532427
