token, holder, balanceInUSD, tx count
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xeb11255b15600390e60a7aa1fbe1c821f6d0fd8a, 300374.35445378994, 367
LUKSO(0xA8b919680258d369114910511cc87595aec0be6D), 0xc2bdf5b9d31e15e249759f0f15fb1907a79288b5, 196334.72655073274, 63
Rocket Pool(0xb4efd85c19999d84251304bda99e90b92300bd93), 0x475a24c7c7679e3399cf55e90cb3d50a6aceea7b, 1862469.9002484411, 920
Rocket Pool(0xb4efd85c19999d84251304bda99e90b92300bd93), 0xed322058482d1c751fd6cacfa494495b8dee949f, 355170.2591066, 24
Rocket Pool(0xb4efd85c19999d84251304bda99e90b92300bd93), 0x3bb9a018be66ac8ddab18cdde0c51c61ac6eecfa, 237280.7455000215, 595
Orbit Chain(0x662b67d00a13faf93254714dd601f5ed49ef2f51), 0xceed847f1d26998a5be22026ae58caddbbf8e00f, 578111.4098393008, 248
Orbit Chain(0x662b67d00a13faf93254714dd601f5ed49ef2f51), 0x0e4f9bc5b3cfe87659dfcdc9fce229234da4ac47, 263120.6595094266, 385
LCX(0x037a54aab062628c9bbae1fdb1583c195585fe41), 0xa83050517eb58b2da41bd509c4d8deba40ae0e2f, 266934.86167505453, 515
Morpheus.Network(0xd3E4Ba569045546D09CF021ECC5dFe42b1d7f6E4), 0x7b1fdd0c10063ce3815adb39b1bf5f8aede6fefa, 263036.97102429514, 19
LGCY Network(0xae697f994fc5ebc000f8e22ebffee04612f98a0d), 0xe8d37dfc72a2e2936def85aee1c636803d8bc2c1, 199915.9608378157, 621
Strong(0x990f341946a3fdb507ae7e52d17851b87168017c), 0xa594f4b6e02a48e94bf69d37b188887f8982b11e, 225677.3546783864, 96
TrustSwap(0xcc4304a31d09258b0029ea7fe63d032f52e44efe), 0x49a49de926960ffecfec49c9cea5e7e0bc826a7c, 161696.7062478288, 112
Rarible(0xfca59cd816ab1ead66534d82bc21e7515ce441cf), 0xdba9184305207f843d7fe57a49a9079981ba4298, 192288.61311644033, 455
xDai(0x0Ae055097C6d159879521C384F1D2123D1f195e6), 0xdba9184305207f843d7fe57a49a9079981ba4298, 238097.84439833113, 455
xDai(0x0Ae055097C6d159879521C384F1D2123D1f195e6), 0x32f1dee89452cd5a82c937006f49e9e8f12cee6b, 655790.4866371554, 477
