token, holder, balanceInUSD
Dogelon Mars(0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3), 0xf07704777d6bc182bf2c67fbda48913169b84983, 197675.9683694768
Dogelon Mars(0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3), 0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91, 1327383.7072158249
Dogelon Mars(0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3), 0x4bba5f077a8fcfaf8d6d07c6cfbce553e2d94c9c, 251960.23433155433
Dogelon Mars(0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 3358312.0840761582
Braintrust(0x799ebfabe77a6e34311eeee9825190b9ece32824), 0xa910f92acdaf488fa6ef02174fb86208ad7722ba, 396540.6219725985
DAO Maker(0x0f51bb10119727a7e5ea3538074fb341f56b09ad), 0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91, 379586.38704995427
Lido Staked ETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x65db04a21f2809b0815b2313b0bbb4b3f9baadd2, 175791.15093987528
Lido Staked ETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x28a289cbe72ab5d1878ec1ebb1f0aea619d10a7b, 216526.6350191663
Lido Staked ETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xf2cf7378e44be078732c215fad97af709379ca1d, 438687.84685401624
Lido Staked ETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 21288591.601353016
Lido Staked ETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x50afc0702822669dc476b1d5959b85cb93c99b4f, 583902.6534637663
Lido Staked ETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xbb2a234ab7f84c2d806d06365ff8d6df52e5d367, 583610.8480397464
Lido Staked ETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x804258eae61ce92563c97bc8ff3311aa0ca98842, 897885.2897091499
Lido Staked ETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xe2008b01a2ad0a9aeea9f71ecc6a176138553a61, 4397368.687185179
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xf07704777d6bc182bf2c67fbda48913169b84983, 170336.11172306296
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x63e8388ac285b27949e9312aab422968e787475f, 251776.95132632615
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x997b54d967e0452abf233eb12b6829db84f96c2a, 892589.5285517499
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x4423ac71f53ca92e2f2be5917a9c2468e7412f4a, 152237.5302706493
Lido DAO(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0x50664ede715e131f584d3e7eaabd7818bb20a068, 160243.39253073788
Lido DAO(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0xead735c299de709eecfd84eaf0632e0d7458c3ca, 582178.639998594
Lido DAO(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0xffa388d3444ae5596deaa817c50cd09d79ae6889, 1060234.137305367
Lido DAO(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0x17df44483db7143116f5671a699e41b403067db6, 780096.1358934174
Lido DAO(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0x6979e645b7cd48c7181ece3c931be9261394aa29, 411105.47163636104
Lido DAO(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0x6a04941de896e4215eeb8e6eb1b72ad2904d2402, 2350454.593768233
BitDAO(0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 143679555.57999232
BitDAO(0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5), 0x0f4ee9631f4be0a63756515141281a3e2b293bbe, 8648281.91430181
NXM(0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b), 0xbb2a234ab7f84c2d806d06365ff8d6df52e5d367, 445386.60927680915
KOK(0x9b9647431632af44be02ddd22477ed94d14aacaa), 0x83a9721310847a7a9fd36d1d9f8a8ae3472bba39, 1257999.2649700486
Maple(0x33349b282065b0284d756f0577fb39c158f935e6), 0xfc70d765f3570b5800972c27040b7f50f7497bf8, 418136.48440229497
Maple(0x33349b282065b0284d756f0577fb39c158f935e6), 0x6a04941de896e4215eeb8e6eb1b72ad2904d2402, 2669448.196473482
Maple(0x33349b282065b0284d756f0577fb39c158f935e6), 0x56178a0d5f301baf6cf3e1cd53d9863437345bf9, 5531548.085929806
Maple(0x33349b282065b0284d756f0577fb39c158f935e6), 0xcbe7de95accc182baeff13d331049c9c86f02d69, 208296.3773329525
OriginTrail(0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 1739432.3069710757
AVINOC(0xf1ca9cb74685755965c7458528a36934df52a3ef), 0x7bd9ea42223d7fa9d8ca015d20e62acba308b82b, 193995.72139810657
Decentral Games(0x4b520c812e8430659fc9f12f6d0c39026c83588d), 0xc2e7f4247ffc0601a491c36517258a79c5da8594, 270791.7443397169
Decentral Games(0x4b520c812e8430659fc9f12f6d0c39026c83588d), 0x4bba5f077a8fcfaf8d6d07c6cfbce553e2d94c9c, 197054.87256837898
Victoria VR(0x7d5121505149065b562c789a0145ed750e6e8cdd), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 513772.6920318166
e-Radix(0x6468e79A80C0eaB0F9A2B574c8d5bC374Af59414), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 2440791.3185434733
Starlink(0x8e6cd950ad6ba651f6dd608dc70e5886b1aa6b24), 0x7aa7f0528d551096463d60380139844f6d4a6ac2, 159179.1070655853
Wilder World(0x2a3bff78b79a009976eea096a51a948a3dc00e34), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 688762.0213023574
LCX(0x037a54aab062628c9bbae1fdb1583c195585fe41), 0xba84436870c9a055430cfa412d8a9186802ffb92, 602656.431345584
Ankr Reward Bearing Staked ETH(0xe95a203b1a91a908f9b9ce46459d101078c2c3cb), 0xd2bc4e7ecfa4ec39069623854cd114dcd8771b84, 210153.25958812222
Covalent(0xD417144312DbF50465b1C641d016962017Ef6240), 0xf050257f16a466f7d3926a38e830589ab539ee88, 3588645.1619962063
Verasity(0xf411903cbc70a74d22900a5de66a2dda66507255), 0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91, 339135.6031929356
Verasity(0xf411903cbc70a74d22900a5de66a2dda66507255), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 5321828.901709375
Verasity(0xf411903cbc70a74d22900a5de66a2dda66507255), 0xe62dc92012e3996374a7b8f5fa06b38434281afd, 3889414.506800112
Verasity(0xf411903cbc70a74d22900a5de66a2dda66507255), 0xaf91f2d992f37450695bfdd15f26362c40d71088, 5012814.42931745
Verasity(0xf411903cbc70a74d22900a5de66a2dda66507255), 0xad67725061fa412d3af086456fde8a2d2d60408a, 207319.0726123277
Verasity(0xf411903cbc70a74d22900a5de66a2dda66507255), 0x787d4167333a5a0660378a27f295fab4964f5117, 201156.73335369135
Verasity(0xf411903cbc70a74d22900a5de66a2dda66507255), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 3992405.8082788624
EverRise(0xC17c30e98541188614dF99239cABD40280810cA3), 0xd344c9acc6cd530aa56050851b4a3652c9687e44, 228847.6041189855
Morpheus.Network(0xd3E4Ba569045546D09CF021ECC5dFe42b1d7f6E4), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 1224076.1497714687
KeeperDAO(0xfa5047c9c78b8877af97bdcb85db743fd7313d4a), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 4956500.077621876
XMON(0x3aaDA3e213aBf8529606924d8D1c55CbDc70Bf74), 0xb9e025a1363373e48da72f7e4f6eb7cddf2f6501, 455996.6963425691
XMON(0x3aaDA3e213aBf8529606924d8D1c55CbDc70Bf74), 0x88f09bdc8e99272588242a808052eb32702f88d0, 153207.10102707116
XMON(0x3aaDA3e213aBf8529606924d8D1c55CbDc70Bf74), 0xce5bf8be6e171b73048ebeafd5d87ada77d5be6a, 162995.16029753225
RFOX(0xa1d6df714f91debf4e0802a542e13067f31b8262), 0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91, 202745.02888226009
Ribbon Finance(0x6123b0049f904d730db3c36a31167d9d4121fa6b), 0x0f4ee9631f4be0a63756515141281a3e2b293bbe, 870704.0287938833
SingularityDAO(0x993864e43caa7f7f12953ad6feb1d1ca635b875f), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 813253.1834304495
YIELD App(0xF94b5C5651c888d928439aB6514B93944eEE6F48), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 479594.58251119277
Kryll(0x464eBE77c293E473B48cFe96dDCf88fcF7bFDAC0), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 610300.7740398034
Dotmoovs(0x24ec2ca132abf8f6f8a6e24a1b97943e31f256a7), 0x88fe14d4170bc952d1e64ed2a31900b47222e844, 175232.10330969575
Pendle(0x808507121b80c02388fad14726482e061b8da827), 0xea8761b697bb193b7c511d97017ad09638701ee7, 219157.03085172307
Pendle(0x808507121b80c02388fad14726482e061b8da827), 0x0dc874fb5260bd8749e6e98fd95d161b7605774d, 169798.5610035995
Pendle(0x808507121b80c02388fad14726482e061b8da827), 0x760484042a7856e62b627318796ebb609c8131a1, 322617.39665177016
Unisocks(0x23b608675a2b2fb1890d3abbd85c5775c51691d5), 0x4c9f7207be28278b9dca129f2e211acfff48fb01, 155249.98495977977
Reflexer Ungovernance Token(0x6243d8cea23066d098a15582d81a598b4e8391f4), 0x3cdf2b3c14777a0384aa4aec5af41d96fc6620ec, 10147290.439558135
DeGate(0x53c8395465a84955c95159814461466053dedede), 0x1ac63b0de4b727e3f36b63d162b3811c947a0081, 213215.0021009986
Pawtocol(0x70d2b7c19352bb76e4409858ff5746e500f2b67c), 0x8a3bcd7b8d3f34f9684e90c7d7bc58f07dbe84c4, 375871.39748247137
Pawtocol(0x70d2b7c19352bb76e4409858ff5746e500f2b67c), 0xf2ec5e262bb32e338bc9a0db0b5a5386bd59585b, 427553.7146363112
Pawtocol(0x70d2b7c19352bb76e4409858ff5746e500f2b67c), 0x06bfc8cf6df875f16d7ae5b17a22231000324545, 432252.1071048421
Pawtocol(0x70d2b7c19352bb76e4409858ff5746e500f2b67c), 0x01a0ba794c921bf5b9c5cccf5deb1d789d2625ef, 422855.3221677803
Pawtocol(0x70d2b7c19352bb76e4409858ff5746e500f2b67c), 0x4e20239b7c45d13af12d559c639f64e5a0dcffe3, 469839.24685308925
Pawtocol(0x70d2b7c19352bb76e4409858ff5746e500f2b67c), 0x4cdd06581c9dd535afb65a5568ecea3b10e10fb1, 469839.24685308925
Pawtocol(0x70d2b7c19352bb76e4409858ff5746e500f2b67c), 0xb4248872541aa9b00994f9a12558c2a2eb369380, 422855.3221677803
Tokamak Network(0x2be5e8c109e2197D077D13A82dAead6a9b3433C5), 0x33c0e0cf845502eda9873e8ab1da1daf5a47eac6, 618305.8220901359
Tokamak Network(0x2be5e8c109e2197D077D13A82dAead6a9b3433C5), 0xb2e518b841b0cb7124ddadcbb882bbced4337cbf, 3230791.3949649283
Tokamak Network(0x2be5e8c109e2197D077D13A82dAead6a9b3433C5), 0x36f917bbd70d31f0501fce2cd1756a977d783e44, 2039430.0631720219
Tokamak Network(0x2be5e8c109e2197D077D13A82dAead6a9b3433C5), 0x2db13e39eaf889a433e0cb23c38520419ec37202, 372607.54122849513
Clearpool(0x66761fa41377003622aee3c7675fc7b5c1c2fac5), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 922918.7187600841
Cirus Foundation(0xa01199c61841fce3b3dafb83fefc1899715c8756), 0x545b8761179d08e15ce4788bb028f2a4a8eff624, 204964.5988203628
Bone ShibaSwap(0x9813037ee2218799597d83D4a5B6F3b6778218d9), 0x154a8cc94737431d72326f360c0f701f8a81bbac, 422304.78577320266
Eden(0x1559fa1b8f28238fd5d76d9f434ad86fd20d1559), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 1177275.8235969313
Fractal(0xf4d861575ecc9493420a3f5a14f85b13f0b50eb3), 0x9ede37d78df166f83eb4072959af7c13adfd35eb, 489876.4525231927
Jarvis Network(0x8a9c67fee641579deba04928c4bc45f66e26343a), 0xc31249ba48763df46388ba5c4e7565d62ed4801c, 254496.6972008339
Stake DAO(0x73968b9a57c6e53d41345fd57a6e6ae27d6cdb2f), 0xd0d8f1197b4da3161c8ab35414e93cb6b71041d0, 235257.66019268028
LooksRare(0xf4d2888d29d722226fafa5d9b24f9164c092421e), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 6812747.498792577
LooksRare(0xf4d2888d29d722226fafa5d9b24f9164c092421e), 0x89d7db6855620287ca6edfe9c11ab977170ccca8, 279508.2440163365
LooksRare(0xf4d2888d29d722226fafa5d9b24f9164c092421e), 0x8e28d27da417fcc813c192e48e3837da33eed672, 250715.17793163488
LooksRare(0xf4d2888d29d722226fafa5d9b24f9164c092421e), 0xf6890e3114ebc79f56f49d0072b3aa0af85af949, 396436.6369858443
LooksRare(0xf4d2888d29d722226fafa5d9b24f9164c092421e), 0x56178a0d5f301baf6cf3e1cd53d9863437345bf9, 198532.32796022145
LooksRare(0xf4d2888d29d722226fafa5d9b24f9164c092421e), 0x1149e9143c407f3be1df24c463e48963c6de1715, 198655.56958582706
LooksRare(0xf4d2888d29d722226fafa5d9b24f9164c092421e), 0x07cc65ec4de72fdf7d2b6c39fd80c4ea4706215b, 646367.2910729067
Wrapped LUNA Token(0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9), 0x56178a0d5f301baf6cf3e1cd53d9863437345bf9, 1091228.0501189276
Wrapped LUNA Token(0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9), 0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91, 26144199.018034004
CAW(A Hunters Dream)(0xf3b9569F82B18aEf890De263B84189bd33EBe452), 0x4f1785be3accb483a849918dc99a00552643691d, 182487.83917908877
CAW(A Hunters Dream)(0xf3b9569F82B18aEf890De263B84189bd33EBe452), 0x04c49c077772c330d6688fb7200c9a0be8c0641f, 184138.34575992022
CAW(A Hunters Dream)(0xf3b9569F82B18aEf890De263B84189bd33EBe452), 0x38c581d376af690f92e3a4f4af2ccd0576f9857e, 314045.2396916466
CAW(A Hunters Dream)(0xf3b9569F82B18aEf890De263B84189bd33EBe452), 0x9624e4cfd6af51c2aa15d4f65b8874ff8007ce5b, 429410.8791558132
CAW(A Hunters Dream)(0xf3b9569F82B18aEf890De263B84189bd33EBe452), 0xc409134827440024347e27b2826dfd3d42a2967b, 192703.7876251355
CAW(A Hunters Dream)(0xf3b9569F82B18aEf890De263B84189bd33EBe452), 0x20478a9af7680e33611adb199c0597b994f8670b, 231407.28539025478
Stargate Finance(0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6), 0xfd2dfec3b41ca64f14af0dc2ab1a22065d05d0ed, 339133.0910069643
Stargate Finance(0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 22681627.76269773
Shiba Predator(0xa71d0588EAf47f12B13cF8eC750430d21DF04974), 0x192388ad7577536606e7e3444f160fa1e82f02f7, 247583.07461562086
Shiba Predator(0xa71d0588EAf47f12B13cF8eC750430d21DF04974), 0xbecf9a0708ef93e1c6affb19157098ecdd3510c1, 221973.31267511856
Shiba Predator(0xa71d0588EAf47f12B13cF8eC750430d21DF04974), 0x672edcde73e64464415b213f579ef84257b9f5b6, 233670.05891800998
JPEG'd(0xE80C0cd204D654CEbe8dd64A4857cAb6Be8345a3), 0x8036a3b3695879d7bdbbfc1116016507c2691587, 290896.3901455801
JPEG'd(0xE80C0cd204D654CEbe8dd64A4857cAb6Be8345a3), 0x87141e09950479e97f05d6dcafc7ac6128c955dd, 300004.07802321395
Cult DAO(0xf0f9d895aca5c8678f706fb8216fa22957685a13), 0xfb789d3654a1a44ac9504c76020e05f6ab1ad1ca, 326988.4818830209
Cult DAO(0xf0f9d895aca5c8678f706fb8216fa22957685a13), 0x403c2d4099179e178a0b9860139f0284a63c8690, 248830.15201902785
Synapse(0x0f2D719407FdBeFF09D87557AbB7232601FD9F29), 0x6a04941de896e4215eeb8e6eb1b72ad2904d2402, 972426.2032109271
Synapse(0x0f2D719407FdBeFF09D87557AbB7232601FD9F29), 0xad9bb30aa4b6eed8346e2298ac152cdac0d2ad0b, 897462.4611472384
Synapse(0x0f2D719407FdBeFF09D87557AbB7232601FD9F29), 0x7afc6311588ec8c7b53f22efa5c5607dfd178309, 182560.26954316103
Synapse(0x0f2D719407FdBeFF09D87557AbB7232601FD9F29), 0xad63e4d4be2229b080d20311c1402a2e45cf7e75, 240398.78721518157
Synapse(0x0f2D719407FdBeFF09D87557AbB7232601FD9F29), 0xf711d397c4143a9bff04471a9d3f5ff26e697324, 1293019.4844504346
Synapse(0x0f2D719407FdBeFF09D87557AbB7232601FD9F29), 0x4823be7f266c5bca85b7dbd8e41f4710e1c49a7b, 271129.3138359211
NFT Worlds(0xd5d86fc8d5c0ea1ac1ac5dfab6e529c9967a45e9), 0x8df04d551e3f7f5b03a67de79184bb919a97bbde, 318536.44404384325
NFT Worlds(0xd5d86fc8d5c0ea1ac1ac5dfab6e529c9967a45e9), 0x59dbce846aa40f138d805a7cebe2afb0c33066a3, 1311394.277618774
ETH 2x Flexible Leverage Index(0xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd), 0x56178a0d5f301baf6cf3e1cd53d9863437345bf9, 1058084.1035859075
Railgun(0xe76c6c83af64e4c60245d8c7de953df673a7a33d), 0x3da0b27497effa4f703b702fd76d82e2b1c11ba7, 171796.3870806869
Railgun(0xe76c6c83af64e4c60245d8c7de953df673a7a33d), 0x7c4ab59e1b23f6222d90afad7ff3a9bc5bd53199, 379530.687562754
sBTC(0xfE18be6b3Bd88A2D2A7f928d00292E7a9963CfC6), 0x26d2e5bd1a418aff98523a70ec4d12cb370cdd85, 3354332.20259772
