token, holder, balanceInUSD
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xcec49457be1db16287a45a4b19c4b52ca203e034, 243485.60866209457
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xd9c8b01544dc423b3ab8f6ffaba6fca6e7c649ac, 400707.2001073797
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x9fdc6c51ac273637ead71b34e031c4e6b52bc57b, 477242.39955946617
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x997b54d967e0452abf233eb12b6829db84f96c2a, 364717.02734823036
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xa6eba7f5ee9ce80cb976be8ec6821ac490f64c86, 387026.2232642471
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xfdcd5daf992a68f297647074221cf51a3c23e4ed, 303064.33477658033
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x6d6b41d48bfb9db03cb1015610360d2a3c356428, 184244.16639906296
KOK(0x9b9647431632af44be02ddd22477ed94d14aacaa), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 32806478.978123315
Veritaseum(0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374), 0xe03c23519e18d64f144d2800e30e81b0065c48b5, 3799252.0646457723
LUKSO(0xA8b919680258d369114910511cc87595aec0be6D), 0x6032cc6c2d95817034c987c826c999077cff9ae0, 529462.0024888484
Vectorspace AI(0x7D29A64504629172a429e64183D6673b9dAcbFCe), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 383688.350403682
Vectorspace AI(0x7D29A64504629172a429e64183D6673b9dAcbFCe), 0xba84436870c9a055430cfa412d8a9186802ffb92, 390593.52033371053
DeFi Pulse Index(0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b), 0xd972bb7ce0c457983fb47bcbe9046681854bfc8c, 212550.2000015838
DeFi Pulse Index(0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b), 0x56178a0d5f301baf6cf3e1cd53d9863437345bf9, 1694452.1442389423
AllianceBlock(0x00a8b738E453fFd858a7edf03bcCfe20412f0Eb0), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 586744.1578603645
STAKE(0x0Ae055097C6d159879521C384F1D2123D1f195e6), 0x000000000000000000000000000000000000dead, 66352427.541594185
Morpheus.Network(0xd3E4Ba569045546D09CF021ECC5dFe42b1d7f6E4), 0xdba9184305207f843d7fe57a49a9079981ba4298, 418236.67245532695
Morpheus.Network(0xd3E4Ba569045546D09CF021ECC5dFe42b1d7f6E4), 0x851532ac9e28f6109688555abab5c6fc7aa38e15, 432578.40417099907
Aleph.im(0x27702a26126e0b3702af63ee09ac4d1a084ef628), 0x3c3e15e125e582ad80eb760259cc0894bd222a63, 230971.97051261523
Aleph.im(0x27702a26126e0b3702af63ee09ac4d1a084ef628), 0xc0443e1cfe9ee71ddab615868f3b0e051180d859, 1906973.9574889038
Aleph.im(0x27702a26126e0b3702af63ee09ac4d1a084ef628), 0xee3ff359ba62aa5aca4fa5399b306577426c9c69, 240488.52389870936
Aleph.im(0x27702a26126e0b3702af63ee09ac4d1a084ef628), 0x5931c1d9d443a316f80dcdea593ae46d4f8f8e82, 1433631.2987418987
Aleph.im(0x27702a26126e0b3702af63ee09ac4d1a084ef628), 0x7a952324b726f42be008602d815a1dd3151306ab, 956774.4274399877
Aleph.im(0x27702a26126e0b3702af63ee09ac4d1a084ef628), 0x6178e8a75e81879012226cf0aa4f4cf4bd8e139a, 162789.95747084345
Rarible(0xfca59cd816ab1ead66534d82bc21e7515ce441cf), 0xdfb321988b6a7e0c7f427d3b237591212d8b1005, 6632696.911648501
Kleros(0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d), 0xf3ad7d08240b09d0ee8ac0811fbee835ce2788e1, 1009388.1484462011
Strong(0x990f341946a3fdb507ae7e52d17851b87168017c), 0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91, 1614521.542898214
Strong(0x990f341946a3fdb507ae7e52d17851b87168017c), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 555594.8368583038
Strong(0x990f341946a3fdb507ae7e52d17851b87168017c), 0x6ae2a60d4189907afb4ad4a2d6ede328d7e30977, 327830.95106141403
SUKU(0x0763fdCCF1aE541A5961815C0872A8c5Bc6DE4d7), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 786330.6767328524
ERC20(0xc3761eb917cd790b30dad99f6cc5b4ff93c4f9ea), 0xa195cbe259ac60ed2b38f26a3c3fd5327b9aa7f7, 480645.8951948177
Etherisc DIP Token(0xc719d010b63e5bbf2c0551872cd5316ed26acd83), 0x6de54b43af706f2dae6edcce76121b47e7daea31, 235304.42438598085
GET Protocol(0x8a854288a5976036a725879164ca3e91d30c6a1b), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 1467653.9550666485
Aventus(0x0d88ed6e74bbfd96b831231638b66c05571e824f), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 373265.85526674194
mStable Governance Token: Meta (MTA)(0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 4402105.279530514
Geeq(0x6b9f031d718dded0d681c20cb754f97b3bb81b78), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 215114.05013856807
Vidya(0x3d3d35bb9bec23b06ca00fe472b50e7a4c692c30), 0xddee307da75d2081126c8fb227e992c428a2796b, 256190.05987125888
NAGA(0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131), 0xc5a3a00614dd31790fb8709b3280f0db5f409eae, 1703588.8069555128
NAGA(0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131), 0x81f47a7dd96ee101c0947d7b0e1d736c6bbe23a8, 683312.5242108671
NAGA(0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 7364264.697257635
