token, holder, balanceInUSD
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x997b54d967e0452abf233eb12b6829db84f96c2a, 722162.7287086778
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xd6fc210686d22d0f2e9303700a9e44bc6527b105, 223927.40630744977
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x40c839b831c90173dc7fbce49a25274a4688ddd9, 195544.63633489265
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x08c788afdacf6cf81180d2bbbe42a7434d0c7a92, 898135.1824468184
Rocket Pool(0xb4efd85c19999d84251304bda99e90b92300bd93), 0xf6210b4bb2fe841630eb50001e688c4bc058b602, 249083.09767206895
Vectorspace AI(0x7D29A64504629172a429e64183D6673b9dAcbFCe), 0x43fb99c5bc88c9cfe4d67abdae0fb0a152899702, 777595.8790429849
LUKSO(0xA8b919680258d369114910511cc87595aec0be6D), 0x4bba5f077a8fcfaf8d6d07c6cfbce553e2d94c9c, 396324.71806133946
LUKSO(0xA8b919680258d369114910511cc87595aec0be6D), 0x909b22a2dcee2b32d4404b40339c29e32439b7a2, 249681.5315524337
Hxro(0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 49588823.04188417
DEAPcoin(0x1a3496c18d558bd9c6c8f609e1b129f67ab08163), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 8826156.470102767
DeFi Pulse Index(0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b), 0x56178a0d5f301baf6cf3e1cd53d9863437345bf9, 1440591.414998792
LCX(0x037a54aab062628c9bbae1fdb1583c195585fe41), 0xb0a1be32df8c8248a54389af5d5528c38d92d5be, 181701.14180424815
AllianceBlock(0x00a8b738E453fFd858a7edf03bcCfe20412f0Eb0), 0x9a91d7411d11911b371ce510e3701dbc07a5ba4b, 338199.4992023355
Morpheus.Network(0xd3E4Ba569045546D09CF021ECC5dFe42b1d7f6E4), 0xdba9184305207f843d7fe57a49a9079981ba4298, 761627.3313431337
Presearch(0xEC213F83defB583af3A000B1c0ada660b1902A0F), 0xf07796e2d23b0742a63ac432de0434aff6092021, 954328.7735615338
LGCY Network(0xae697f994fc5ebc000f8e22ebffee04612f98a0d), 0xe8d37dfc72a2e2936def85aee1c636803d8bc2c1, 153247.81810893273
xDai(0x0Ae055097C6d159879521C384F1D2123D1f195e6), 0xd142c9cfe2f0bef4c14594358fb65aee1b726d2c, 682177.4602329595
Aleph.im(0x27702a26126e0b3702af63ee09ac4d1a084ef628), 0xee3ff359ba62aa5aca4fa5399b306577426c9c69, 268647.89690709877
PARSIQ(0x362bc847A3a9637d3af6624EeC853618a43ed7D2), 0xdba9184305207f843d7fe57a49a9079981ba4298, 206864.62355001105
REVV(0x557b933a7c2c45672b610f8954a3deb39a51a8ca), 0xdcefd8df966251b07c19ba4a0e93054a8ee18bcb, 591797.9549765529
Strong(0x990f341946a3fdb507ae7e52d17851b87168017c), 0x416f842b2b639bbd8225b36f56f744a46ef392a2, 338140.4969760986
ERC20(0xc3761eb917cd790b30dad99f6cc5b4ff93c4f9ea), 0x13da0513d78839244f6076128f0405b7c9c78780, 330524.23252350115
ERC20(0xc3761eb917cd790b30dad99f6cc5b4ff93c4f9ea), 0x7cf70b2a18436074c518cd27d3f66615ffd73948, 268026.90464308806
ERC20(0xc3761eb917cd790b30dad99f6cc5b4ff93c4f9ea), 0x51e3ac5e9b2a5ed213741920231b986941371311, 2552350.5150351766
GET Protocol(0x8a854288a5976036a725879164ca3e91d30c6a1b), 0xbdf72d6fdbafee480808bece34c46d581df64b97, 222638.94848659675
YF Link(0x28cb7e841ee97947a86B06fA4090C8451f64c0be), 0x0000000000000000000000000000000000000008, 19025821.69718322
FREE Coin(0x2f141ce366a2462f02cea3d12cf93e4dca49e4fd), 0xdad3f160f858ac82df8af5deab03eb2b1a7e44d5, 3523906.693318929
Geeq(0x6b9f031d718dded0d681c20cb754f97b3bb81b78), 0x8888888888e9997e64793849389a8faf5e8e547c, 538104.4020375519
DEXA COIN(0x725440512cb7b78bf56b334e50e31707418231cb), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 444337.45040072163
JFIN(0x940bdcb99a0ee5fb008a606778ae87ed9789f257), 0x76a0565247191cd5d8d9b5cbdf36307e1573cfec, 329133.8990825328
JFIN(0x940bdcb99a0ee5fb008a606778ae87ed9789f257), 0x25f2c3981ecfab2e8bf4b6b28f252f0b1d1e6d77, 666413.1190366041
3X Long Matic Token(0x7e03521b9dA891Ca3F79A8728E2eaeb24886c5f9), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 10966433.392982228
QANplatform(0xaaa7a10a8ee237ea61e8ac46c50a8db8bcc1baaa), 0x236739a534c433184f901f3340b682eb2ba0464f, 2781288.1247119014
