token, holder, balanceInUSD
MXC(0x5ca381bbfb58f0092df149bd3d243b08b9a8386e), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 576199.3014737017
Orbs(0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 1204036.4103488908
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x9f6bcc3d52624a2be52a6b5499b582b98f7e5a41, 257797.02524641078
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xa0d86993bf9593a9186c7f022e31bd0d32808bf1, 879044.0647602855
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xfdef54b592130774f8a9892e43954d8eae474649, 2577674.234200729
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xb8f93b7a5cc0d6ad4fabcf997593f2ee34c841c6, 580272.9595999435
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x3cbc3bed185b837d79ba18d36a3859ecbcfc3dc8, 2577663.9256412
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x2b67ffd2ef0f336791ae70193ccc86ef2a911244, 1094093.1003842957
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x4423ac71f53ca92e2f2be5917a9c2468e7412f4a, 193541.46116490333
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x6385b1999f4def7aab147e61c7d5b79ba6437594, 276787.538444427
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x997b54d967e0452abf233eb12b6829db84f96c2a, 420978.52476807375
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xe7ec500e14edbe3ca3358bcde7df145968b2aead, 265265.96397748747
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xcc9557f04633d82fb6a1741dcec96986cd8689ae, 1152685.6734779964
BitDAO(0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 127174452.29274392
BitDAO(0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5), 0x0f4ee9631f4be0a63756515141281a3e2b293bbe, 3575255.90875529
MetisDAO(0x9E32b13ce7f2E80A01932B42553652E053D6ed8e), 0x9d156bc7c8768294510a4a41883d5a4eb15b15e3, 382051.0108251354
MetisDAO(0x9E32b13ce7f2E80A01932B42553652E053D6ed8e), 0x8319ef53245d8fffe01ae8fb4ad0a22016bdbb42, 579027.4600940498
MetisDAO(0x9E32b13ce7f2E80A01932B42553652E053D6ed8e), 0x53351f6e823be027d544c92be9aa08eb14ce2f8e, 280719.6084262535
MetisDAO(0x9E32b13ce7f2E80A01932B42553652E053D6ed8e), 0x751eb6296e4e5c01a14b548e3f975673d8664290, 183638.88675681787
MetisDAO(0x9E32b13ce7f2E80A01932B42553652E053D6ed8e), 0xb3f3658bf332ba6c9c0cc5bc1201caba7ada819b, 228069.30395740885
Lido DAO Token(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0x4ec4e360ef15ba15a775216a51643bea48623296, 2270056.1601850186
Lido DAO Token(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0xca436e14855323927d6e6264470ded36455fc8bd, 317860.48472357774
