token, holder, balanceInUSD
Dogelon Mars(0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 1803395.66439726
Dogelon Mars(0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3), 0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91, 2498986.6921425764
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x99b937db7e11f1abe6ee1795317912be46e20140, 162078.1318792817
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 21371581.412831128
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x792a22bedb3b30e08498b5b4ab094d2baf3a1455, 1177289.1849181417
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x8285c3881ccbfcf4d8de6f5810296558a7cb540e, 479742.4199851009
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x64ca35bef43e3358d91001e3fb98ad04fbaef864, 19717535.824926443
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xb157ba30e3467ddbc844f14f02b4ba741f1d549f, 500394.5772487478
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x8959314cd4d967d53e4eb468165fe44f4c74a795, 908313.9279473753
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x2c531920a372998bc029e20771422018e99f1680, 476218.4436568796
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xf6853c77a2452576eae5af424975a101ffc47308, 259475.40890011014
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x9771c75ce35fc8d1625d8859ab1543c1be42dc9a, 193006.806923066
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x51f39b244d0c1d85c1b98d833959531b355ad1b4, 956998.7809525429
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xb32f98243a6fe3dea6789e6e1eab6a24c937e89e, 2060049.052664765
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x07fe984c446417c1ff4532ce4fd67eeb59a0d682, 264862.3167559825
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x997b54d967e0452abf233eb12b6829db84f96c2a, 1206928.4685110864
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x63e8388ac285b27949e9312aab422968e787475f, 158326.91984737728
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x4423ac71f53ca92e2f2be5917a9c2468e7412f4a, 570955.2852887033
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x0698fa3b48313c5160619bdb970deb98e558ea75, 237365.02698725057
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xe0268949232a2fb9099f31faca947c12ffb54f89, 533020.4784794728
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xdcbac4d63cb97a6e075fe77e75b06c691d75ebc0, 250189.1680674444
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xf07704777d6bc182bf2c67fbda48913169b84983, 195498.4960438367
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0xca976b22c09b98a752e77e6f02c5181beca5fbf4, 414775.1020401875
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x9fdc6c51ac273637ead71b34e031c4e6b52bc57b, 490525.97288413165
BitDAO(0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5), 0x0f4ee9631f4be0a63756515141281a3e2b293bbe, 7728780.509856183
BitDAO(0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 143143805.002981
Liquity USD(0x5f98805A4E8be255a32880FDeC7F6728C6568bA0), 0x987c5f96524059f591244f930279346ffaf900b6, 273826.9688498414
