token, holder, balanceInUSD
Dogelon Mars(0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3), 0xa910f92acdaf488fa6ef02174fb86208ad7722ba, 21426068.597519394
MXC(0x5ca381bbfb58f0092df149bd3d243b08b9a8386e), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 777741.1301293881
MXC(0x5ca381bbfb58f0092df149bd3d243b08b9a8386e), 0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91, 312164.2616182877
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xe875fa7db24f1530e3ff9f857a75c975a46fddc2, 827222.9858057639
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xc1e42f862d202b4a0ed552c1145735ee088f6ccf, 1378832.1557313236
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x69048d4dcc4af67c143e76d12f427f9fafc5a972, 9093938.023958031
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xf46cfe3241a15378eb455a65d5e2642e654b498a, 741759.2440193079
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x4b85a658bd606ba20745fdc644a109eba9abe553, 1412687.2965998403
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xe9472fdffaa6792df8ff5faab5866c90dc7f6f22, 750994.2816016652
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xa04e9496b253c3dbe83699b4aac6d7d5316b5592, 716849.8787720551
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 8899265.479509972
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xf93cf2b1c8f629755f929b633d6ab113ca120b36, 165403.0971933259
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xb32607d32f192fe30e222dc9996bf75c6d9074e3, 578994.1328543522
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xa0934547d786b2b20d2330d1b1571074361dde92, 155044.38558084104
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x9b0357c47bf25c4040f0f2ee31b9e0d57c977a4e, 551422.9836708116
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xe337c8f2c9e4e1189d76ca3b3ff99db7b92b4caa, 11088548.205002764
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x17816e9a858b161c3e37016d139cf618056cacd4, 496280.6853037305
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0xe5d24b0604477f69d9ce388fd2598bbdd382be0c, 179079.77552731015
Chainbing(0x1900E8B5619a3596745F715d0427Fe617c729BA9), 0x3c02290922a3618a4646e3bbca65853ea45fe7c6, 228805.28428592175
Liquity USD(0x5f98805A4E8be255a32880FDeC7F6728C6568bA0), 0xf9de20a6053d7e0ae2d906cce328935bcc45bbac, 214215.4845996767
BitDAO(0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5), 0xe3aee67955b653715e7223f9fd81f5617e9ac4e8, 234104.35261672141
BitDAO(0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5), 0x0f4ee9631f4be0a63756515141281a3e2b293bbe, 4126960.8852974907
BitDAO(0x1A4b46696b2bB4794Eb3D4c26f1c55F9170fa4C5), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 132491592.19403626
MetisDAO(0x9E32b13ce7f2E80A01932B42553652E053D6ed8e), 0x4b64c8cac1cc3882708c1f9f55beeb9199d279ed, 150314.1143870552
MetisDAO(0x9E32b13ce7f2E80A01932B42553652E053D6ed8e), 0x8319ef53245d8fffe01ae8fb4ad0a22016bdbb42, 326665.5749832444
MetisDAO(0x9E32b13ce7f2E80A01932B42553652E053D6ed8e), 0x3aab8cbd076ecc555de227af9fdf6f04419ad030, 168964.15922135045
Lido DAO Token(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0xaa27680e3cd0fc0697cf886b113e0bbcabccb3f1, 2293114.490019712
Lido DAO Token(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0x9e51bb6841fe9d6fbc7bcc9bafb67d65767ceb32, 252246.30664706836
Lido DAO Token(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0xb9e025a1363373e48da72f7e4f6eb7cddf2f6501, 947497.4199029423
Lido DAO Token(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0xfbacf517a8523a41c75c189fb9fce7b536030e1a, 641094.2020976999
Lido DAO Token(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0x7408e71e9ff46684b58337d022fdc8109fea58bc, 225367.77519047662
Lido DAO Token(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0xe9472fdffaa6792df8ff5faab5866c90dc7f6f22, 229722.45935185353
Lido DAO Token(0x5a98fcbea516cf06857215779fd812ca3bef1b32), 0xc1e8cb20317ae543804ab1d58e954a9c0b44b7f0, 255120.6340519434
Humanscape(0x174afe7a032b5a33a3270a9f6c30746e25708532), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 838228.0534356125
OpenDAO(0x3b484b82567a09e2588a13d54d032153f0c0aee0), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 572126.7874923231
