token, holder, balanceInUSD
Immutable X(0xf57e7e7c23978c3caec3c3548e3d615c346e79ff), 0x3b11267dfc4b9ebe8427e8f557056b4b6ce98112, 194614.48162981836
Immutable X(0xf57e7e7c23978c3caec3c3548e3d615c346e79ff), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 92886144.51553336
Immutable X(0xf57e7e7c23978c3caec3c3548e3d615c346e79ff), 0xc524e0ff53a72ec896f505bc0ecbc78d0c9a2c31, 185345.56741219776
Immutable X(0xf57e7e7c23978c3caec3c3548e3d615c346e79ff), 0xa910f92acdaf488fa6ef02174fb86208ad7722ba, 2592385.1052704114
Immutable X(0xf57e7e7c23978c3caec3c3548e3d615c346e79ff), 0xc315ccfe15d3d30b69354665b49dab1884572888, 309967.0191168298
Dogelon Mars(0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3), 0x32d4703e5834f1b474b17dfdb0ac32cc22575145, 1687979.2019643218
Dogelon Mars(0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3), 0xf07704777d6bc182bf2c67fbda48913169b84983, 236454.89553277148
Dogelon Mars(0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3), 0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91, 4004960.513816156
Dogelon Mars(0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3), 0x19f35e0ba44591a5349677ffc5e9ec507d1270d2, 150862.49259908896
WOO Network(0x4691937a7508860f876c9c0a2a617e7d9e945d4b), 0x738cf6903e6c4e699d1c2dd9ab8b67fcdb3121ea, 1479481.2781804327
WOO Network(0x4691937a7508860f876c9c0a2a617e7d9e945d4b), 0xfdf198af9728b44609a9d730c153885a55e33b5e, 649325.9908260291
WOO Network(0x4691937a7508860f876c9c0a2a617e7d9e945d4b), 0xe37b957ed8e4550103943ea2f97e1741e3ced656, 543340.0927253081
WOO Network(0x4691937a7508860f876c9c0a2a617e7d9e945d4b), 0x13307b8854a95946b54a904100afd0767a7a577b, 504414.1482532323
WOO Network(0x4691937a7508860f876c9c0a2a617e7d9e945d4b), 0xf6890e3114ebc79f56f49d0072b3aa0af85af949, 274610.1036595992
WOO Network(0x4691937a7508860f876c9c0a2a617e7d9e945d4b), 0x9a7ed54b8c2c5816c1800476f5111a1e88657502, 825246.5001990419
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x8e9741f27b21d6b3d5791b5566a880ecf5a1f21e, 905162.1076800234
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 169859664.75799096
Lido stETH(0xae7ab96520de3a18e5e111b5eaab095312d7fe84), 0x28536af9cd9f7bd02f25ce0902eece81a691042c, 691764.2292846955
