token, holder, balanceInUSD
OriginTrail(0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 3965273.8926057112
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x997b54d967e0452abf233eb12b6829db84f96c2a, 877299.6816870188
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x9fdc6c51ac273637ead71b34e031c4e6b52bc57b, 310002.41777378286
Frax(0x853d955acef822db058eb8505911ed77f175b99e), 0x47edf879ff0b131bf4500312120d5532a9feb95d, 171037.4134974554
NXM(0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b), 0x46de0c6f149be3885f28e54bb4d302cb2c505bc2, 930468.1593015997
NXM(0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b), 0xa7009b120eb1016a91a9acec52d243bef01de74e, 20045744.31791036
KOK(0x9b9647431632af44be02ddd22477ed94d14aacaa), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 37595198.187968306
HyperDAO(0x74faab6986560fd1140508e4266d8a7b87274ffd), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 1348658.1191939367
inSure DeFi(0xcb86c6a22cb56b6cf40cafedb06ba0df188a416e), 0x30c58bfbee13852b3202403ab02df16f01053370, 262543.37440562644
Veritaseum(0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374), 0xe03c23519e18d64f144d2800e30e81b0065c48b5, 1314961.023808661
LUKSO(0xA8b919680258d369114910511cc87595aec0be6D), 0x13307b8854a95946b54a904100afd0767a7a577b, 163083.5160277141
Humanscape(0x174afe7a032b5a33a3270a9f6c30746e25708532), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 1244066.656887052
DeFi Pulse Index(0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b), 0x56178a0d5f301baf6cf3e1cd53d9863437345bf9, 1371872.273127285
xDai(0x0Ae055097C6d159879521C384F1D2123D1f195e6), 0x000000000000000000000000000000000000dead, 27972735.50893798
Rarible(0xfca59cd816ab1ead66534d82bc21e7515ce441cf), 0xdfb321988b6a7e0c7f427d3b237591212d8b1005, 5693002.385390308
Rarible(0xfca59cd816ab1ead66534d82bc21e7515ce441cf), 0xf31db451b90e67df19a75a84e72d169b41892118, 166336.05967245137
SUKU(0x0763fdCCF1aE541A5961815C0872A8c5Bc6DE4d7), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 707228.6338109483
PolySwarm(0x9e46a38f5daabe8683e10793b06749eef7d733d1), 0xe2dd56a79b1e3bff1213fce2b7b9dc77f7c5549f, 254800.38681752147
REVV(0x557b933a7c2c45672b610f8954a3deb39a51a8ca), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 227637.35572891394
MCDEX Token(0x4e352cf164e64adcbad318c3a1e222e9eba4ce42), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 6830424.646884233
GameCredits(0x63f88a2298a5c4aee3c216aa6d926b184a4b2437), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 4841189.04561784
Smart MFG(0x6710c63432a2de02954fc0f851db07146a6c0312), 0x4401de1dfae6a6730f52f32adfd364e65910c525, 195110.18317727896
Pawtocol(0x70d2b7c19352bb76e4409858ff5746e500f2b67c), 0x55267f644243d064d428ba2de1ab84aea191d4ce, 171944.7947100348
Etherisc DIP Token(0xc719d010b63e5bbf2c0551872cd5316ed26acd83), 0x6de54b43af706f2dae6edcce76121b47e7daea31, 582861.0069602742
Aventus(0x0d88ed6e74bbfd96b831231638b66c05571e824f), 0x25599b4c5d678299680c84f904001aa7661d77f7, 870113.8127425063
DuckDaoDime(0xfbeea1c75e4c4465cb2fccc9c6d6afe984558e20), 0xe72fabf7f42d8703c3445f821b810d0c8f598dd5, 188051.17269070874
TriumphX(0x056354F3Ff20743aa4c0DA365603871c7000b081), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 250292.42077921567
Offshift(0xabe580e7ee158da464b51ee1a83ac0289622e6be), 0x5a416d6e1b9bb863f1bbbe98598bb566540f2052, 199478.26219021622
mStable Governance Token: Meta (MTA)(0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 4353494.942968589
Tokamak Network(0x2be5e8c109e2197D077D13A82dAead6a9b3433C5), 0x47462b8062f87f63d84ebb9e0d931d38bd3f6f75, 545902.090211551
Tokamak Network(0x2be5e8c109e2197D077D13A82dAead6a9b3433C5), 0x8ed32ed24303092c016cdb24d51e153ad88c4875, 161163.82645962626
Ubricoin(0xdb13025b219db5e4529f48b65ff009a26b6ae733), 0xed55a567ab3aba4449ea0f7219e849a67d6691c8, 296653.18050409853
3X Long Matic Token(0x7e03521b9dA891Ca3F79A8728E2eaeb24886c5f9), 0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98, 716612.2308343903
3X Long Matic Token(0x7e03521b9dA891Ca3F79A8728E2eaeb24886c5f9), 0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2, 3577829.1599917863
